ticker,country,company_name,industry,sector,sub_industry,exchange,currency,market_cap_category,active,is_etf,yahoo_ticker,industry_keyword_1,industry_keyword_2,industry_keyword_3,ai_generated,ai_enhanced_at,competitor_1_name,competitor_1_ticker,competitor_2_name,competitor_2_ticker,competitor_3_name,competitor_3_ticker,geographic_markets,subsidiaries,financial_last_price,financial_price_change_pct,financial_yesterday_return_pct,financial_ytd_return_pct,financial_market_cap,financial_enterprise_value,financial_volume,financial_avg_volume,financial_analyst_target,financial_analyst_range_low,financial_analyst_range_high,financial_analyst_count,financial_analyst_recommendation,financial_snapshot_date,created_at,updated_at,data_source
005930.KS,US,005930.KS,"Technology Hardware, Storage & Peripherals",Information Technology,,,,,FALSE,FALSE,005930.KS,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,2025-10-14T00:35:09.256163,2025-10-29T18:38:25.151262,csv_import
A,CA,"Agilent Technologies, Inc.",Diagnostics & Research,Healthcare,,,,,FALSE,FALSE,A,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,2025-10-14T00:35:09.256163,2025-10-29T18:38:25.151262,csv_import
AA,CA,Alcoa Corporation,Aluminum,Materials,,,,,FALSE,FALSE,AA,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,2025-10-14T00:35:09.256163,2025-10-29T18:38:25.151262,csv_import
AAB.TO,CA,Aberdeen International Inc.,Asset Management,Financials,,,,,FALSE,FALSE,AAB.TO,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,2025-10-14T00:35:09.256163,2025-10-29T18:38:25.151262,csv_import
AACB,CA,Artius II Acquisition Inc.,Shell Companies,Financials,,,,,FALSE,FALSE,AACB,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,2025-10-14T00:35:09.256163,2025-10-29T18:38:25.151262,csv_import
AACG,CA,ATA Creativity Global,Education & Training Services,Consumer Staples,,,,,FALSE,FALSE,AACG,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,2025-10-14T00:35:09.256163,2025-10-29T18:38:25.151262,csv_import
AACI,CA,Armada Acquisition Corp. II,Shell Companies,Financials,,,,,FALSE,FALSE,AACI,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,2025-10-14T00:35:09.256163,2025-10-29T18:38:25.151262,csv_import
AACT,CA,Ares Acquisition Corporation II,Shell Companies,Financials,,,,,FALSE,FALSE,AACT,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,2025-10-14T00:35:09.256163,2025-10-29T18:38:25.151262,csv_import
AAL,CA,American Airlines Group Inc.,Airlines,Industrials,,,,,FALSE,FALSE,AAL,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,2025-10-14T00:35:09.256163,2025-10-29T18:38:25.151262,csv_import
AAM,CA,AA Mission Acquisition Corp.,Shell Companies,Financials,,,,,FALSE,FALSE,AAM,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,2025-10-14T00:35:09.256163,2025-10-29T18:38:25.151262,csv_import
