ticker,country,company_name,industry,sector,sub_industry,exchange,currency,market_cap_category,active,is_etf,yahoo_ticker,industry_keyword_1,industry_keyword_2,industry_keyword_3,ai_generated,ai_enhanced_at,competitor_1_name,competitor_1_ticker,competitor_2_name,competitor_2_ticker,competitor_3_name,competitor_3_ticker,upstream_1_name,upstream_1_ticker,upstream_2_name,upstream_2_ticker,downstream_1_name,downstream_1_ticker,downstream_2_name,downstream_2_ticker,geographic_markets,subsidiaries,financial_last_price,financial_price_change_pct,financial_yesterday_return_pct,financial_ytd_return_pct,financial_market_cap,financial_enterprise_value,financial_volume,financial_avg_volume,financial_analyst_target,financial_analyst_range_low,financial_analyst_range_high,financial_analyst_count,financial_analyst_recommendation,financial_snapshot_date,created_at,updated_at,data_source
005930.KS,US,"Samsung Electronics Co., Ltd.","Technology Hardware, Storage & Peripherals",Information Technology,"Technology Hardware, Storage & Peripherals",,,,FALSE,FALSE,005930.KS,DRAM prices,NAND prices,smartphone sales,TRUE,2025-11-08T04:45:22.536012,Apple Inc.,AAPL,SK Hynix Inc.,000660.KS,"Micron Technology, Inc.",MU,ASML Holding N.V.,ASML,,,Apple Inc.,AAPL,,,"Asia (major), North America (major), Europe (major)","Samsung Display, Harman International Industries, Samsung SDS",,,,,,,,,,,,,,,,,csv_import
A,CA,"Agilent Technologies, Inc.",Life Sciences Tools & Services,Health Care,Life Sciences Tools & Services,,,,FALSE,FALSE,A,Pharma R&D Spending,Biotech Funding,Lab Instrument Demand,TRUE,2025-11-08T04:45:22.536030,Thermo Fisher Scientific Inc.,TMO,Danaher Corporation,DHR,Waters Corporation,WAT,,,,,Pfizer Inc.,PFE,"Merck & Co., Inc.",MRK,"United States (major), China (major), Europe (major)","Agilent CrossLab, Dako A/S, BioTek Instruments",,,,,,,,,,,,,,,,,csv_import
AA,CA,Alcoa Corporation,Metals & Mining,Materials,Aluminum,,,,FALSE,FALSE,AA,aluminum price,alumina price,energy costs,TRUE,2025-11-08T04:45:22.536037,Rio Tinto Group,RIO,Norsk Hydro ASA,NHYDY,Century Aluminum Company,CENX,,,,,The Boeing Company,BA,Ford Motor Company,F,"Australia (major), Brazil (major), United States (major), Europe (minor)",Alcoa World Alumina and Chemicals (AWAC),,,,,,,,,,,,,,,,,csv_import
AAB.TO,CA,Aberdeen International Inc.,Capital Markets,Financials,Asset Management & Custody Banks,,,,FALSE,FALSE,AAB.TO,Junior Mining Financing,Venture Capital Flows,Critical Minerals Prices,TRUE,2025-11-08T04:45:22.536041,Dundee Corporation,DC-A.TO,Pinetree Capital Ltd.,PNP.TO,,,,,,,,,,,Canada (major),,,,,,,,,,,,,,,,,,csv_import
AACB,CA,Artius Acquisition Inc. II,Shell Companies,Financials,Shell Companies,,,,FALSE,FALSE,AACB,SPAC Merger Activity,IPO Market Sentiment,SPAC Redemption Rates,TRUE,2025-11-08T04:45:22.536045,,,,,,,,,,,,,,,United States (major),,,,,,,,,,,,,,,,,,csv_import
AACG,CA,ATA Creativity Global,Diversified Consumer Services,Consumer Discretionary,Education Services,,,,FALSE,FALSE,AACG,China Education Policy,China Student Enrollment,China Consumer Spending,TRUE,2025-11-08T04:45:55.854345,TAL Education Group,TAL,New Oriental Education & Technology Group Inc.,EDU,Gaotu Techedu Inc.,GOTU,,,,,,,,,China (major),Beijing Huanqiuyimeng Education Consultation Corp.,,,,,,,,,,,,,,,,,csv_import
AACI,CA,Armada Acquisition Corp. II,Capital Markets,Financials,Diversified Capital Markets,,,,FALSE,FALSE,AACI,SPAC Market Sentiment,Merger And Acquisition Activity,Interest Rates,TRUE,2025-11-08T04:45:55.854362,,,,,,,,,,,,,,,United States (major),,,,,,,,,,,,,,,,,,csv_import
AACT,CA,Ares Acquisition Corporation II,Capital Markets,Financials,Diversified Capital Markets,,,,FALSE,FALSE,AACT,SPAC Market Sentiment,Merger And Acquisition Activity,Interest Rates,TRUE,2025-11-08T04:45:55.854369,,,,,,,,,,,,,,,United States (major),,,,,,,,,,,,,,,,,,csv_import
AAL,CA,American Airlines Group Inc.,Transportation,Industrials,Airlines,,,,FALSE,FALSE,AAL,airline passenger demand,jet fuel prices,airline capacity,TRUE,2025-11-08T04:45:55.854383,"Delta Air Lines, Inc.",DAL,"United Airlines Holdings, Inc.",UAL,Southwest Airlines Co.,LUV,The Boeing Company,BA,Airbus SE,EADSY,Booking Holdings Inc.,BKNG,"Expedia Group, Inc.",EXPE,"United States (major), Latin America (major), Europe (major)","Envoy Air, PSA Airlines, Piedmont Airlines",,,,,,,,,,,,,,,,,csv_import
AAM,CA,AA Mission Acquisition Corp.,Capital Markets,Financials,Diversified Capital Markets,,,,FALSE,FALSE,AAM,SPAC Market Sentiment,Merger And Acquisition Activity,Interest Rates,TRUE,2025-11-08T04:45:55.854388,,,,,,,,,,,,,,,United States (major),,,,,,,,,,,,,,,,,,csv_import
